ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
6,Kedah,P6,Kubang Pasu,0.87,0.09,0.04,73881,60334,0.8166375658152976,2018,PAS,PAS,Norhafiza Binti Fadzil,1,0,13375,0.22168263334106805,-16609,-0.27528425100275133,0.010000000000000009,0,8331,4110,-0.04108936019538134,NA,NA,NA,NA,3,3,13375
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,41960,37109,0.8843898951382269,2013,BN,UMNO,Mahdzir Bin Khalid,0,1,20654,0.5565765717211458,4442,0.11970142014066669,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8284.333333333334
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,46644,38923,0.8344695995197667,2018,BN,UMNO,Mahdzir Bin Khalid,1,1,16384,0.42093363820877117,1099,0.028235233666469697,0,0,4684,1814,-0.04992029561846012,0,-3343,-0.09146618647419699,-0.13564293351237466,3,1,3409.666666666666
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,41960,37109,0.8843898951382269,2013,IND,IND,Muhamad Bazli Bin Abdullah,0,0,243,0.006548276698375057,-20411,-0.5500282950227707,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,243
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,41960,37109,0.8843898951382269,2013,Pakatan,PAS,Mohd Nasir Bin Zakaria,0,0,16212,0.4368751515804791,-4442,-0.11970142014066669,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,16212
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,46644,38923,0.8344695995197667,2018,Pakatan,AMANAH,Mohd Khairizal Bin Khazali,1,0,7254,0.18636795724892738,-9130,-0.2345656809598438,0,0,4684,1814,-0.04992029561846012,0,-4688,-0.1148642608191771,-0.2505071943315518,3,3,7254
7,Kedah,P7,Padang Terap,0.92,0.01,0.06,46644,38923,0.8344695995197667,2018,PAS,PAS,Mohamad Azam Bin Abd Majid @ Abd Aziz,1,0,15285,0.3926984045423015,-1099,-0.028235233666469697,0,0,4684,1814,-0.04992029561846012,NA,NA,NA,NA,3,2,15285
8,Kedah,P8,Pokok Sena,0.8,0.18,0.02,80714,68461,0.8481923829818867,2013,BN,UMNO,Shahlan Bin Ismail,0,0,32263,0.47126100991805553,-3935,-0.05747798016388893,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,32263
8,Kedah,P8,Pokok Sena,0.82,0.16,0.02,86892,70750,0.8142291580352622,2018,BN,UMNO,Said Ali Bin Said Rastan,1,0,18390,0.25992932862190815,-10569,-0.1493851590106007,0.019999999999999907,-0.01999999999999999,6178,2289,-0.033963224946624515,0,-6634,-0.09190717884671178,-0.21133168129614738,3,3,18390
8,Kedah,P8,Pokok Sena,0.8,0.18,0.02,80714,68461,0.8481923829818867,2013,Pakatan,PAS,Dato' Mahfuz Bin Omar,0,1,36198,0.5287389900819445,3935,0.05747798016388893,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1967.5
8,Kedah,P8,Pokok Sena,0.82,0.16,0.02,86892,70750,0.8142291580352622,2018,Pakatan,AMANAH,Mahfuz Bin Omar,1,1,28959,0.40931448763250883,5558,0.07855830388692579,0.019999999999999907,-0.01999999999999999,6178,2289,-0.033963224946624515,0,1623,0.021080323723036865,-0.11942450244943564,3,1,5375.666666666668
8,Kedah,P8,Pokok Sena,0.82,0.16,0.02,86892,70750,0.8142291580352622,2018,PAS,PAS,Muhamad Radhi Bin Mat Din,1,0,23401,0.330756183745583,-5558,-0.07855830388692579,0.019999999999999907,-0.01999999999999999,6178,2289,-0.033963224946624515,NA,NA,NA,NA,3,2,23401
9,Kedah,P9,Alor Setar,0.61,0.34,0.05,69009,56642,0.8207914909649466,2013,BERJASA,BERJASA,Abdul Fisol Bin Mohd Isa,0,0,3530,0.06232124571872462,-23834,-0.42078316443628405,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3530
9,Kedah,P9,Alor Setar,0.61,0.34,0.05,69009,56642,0.8207914909649466,2013,BERSAMA,BERSAMA,Jawahar Raja Bin Abdul Wahid,0,0,257,0.0045372691642244275,-27107,-0.47856714099078423,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,257
9,Kedah,P9,Alor Setar,0.61,0.34,0.05,69009,56642,0.8207914909649466,2013,BN,MCA,Chor Chee Heung,0,0,25491,0.4500370749620423,-1873,-0.03306733519296635,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,25491
9,Kedah,P9,Alor Setar,0.64,0.32,0.04,80272,63931,0.7964296392266295,2018,BN,MCA,Yoo Wei How,1,0,14181,0.22181727174610127,-18294,-0.2861522579030517,0.030000000000000027,-0.020000000000000018,11263,7289,-0.024361851738317175,0,-16421,-0.25308492271008537,-0.22821980321594104,3,3,14181
9,Kedah,P9,Alor Setar,0.61,0.34,0.05,69009,56642,0.8207914909649466,2013,Pakatan,PKR,Gooi Hsiao - Leung,0,1,27364,0.48310441015500866,1873,0.03306733519296635,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,13203.5
