ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
17,2013,KD,Padang Serai,P17,74095,0.56,0.21,0.23,PKR,N Surendran A/L K Nagarajan,34151
17,2013,KD,Padang Serai,P17,74095,0.56,0.21,0.23,MCA,Heng Seai Kie,25714
17,2013,KD,Padang Serai,P17,74095,0.56,0.21,0.23,BERJASA,Hamidi Bin Abu Hassan,2630
17,2013,KD,Padang Serai,P17,74095,0.56,0.21,0.23,IND,Gobalakrishnan A/L Nagapan,390
17,2013,KD,Padang Serai,P17,74095,0.56,0.21,0.23,IND,Othman Bin Wawi,279
18,2018,KD,Kulim Bandar Baharu,P18,66587,0.69,0.18,0.13,PKR,Saifuddin Nasution Bin Ismail,23159
18,2018,KD,Kulim Bandar Baharu,P18,66587,0.69,0.18,0.13,UMNO,Abd Aziz Bin Sheikh Fadzir,18299
18,2018,KD,Kulim Bandar Baharu,P18,66587,0.69,0.18,0.13,PAS,Abdul Raman Bin Abdul Razak,12885
18,2013,KD,Kulim Bandar Baharu,P18,60910,0.68,0.19,0.13,UMNO,Abd Aziz Bin Sheikh Fadzir,26782
18,2013,KD,Kulim Bandar Baharu,P18,60910,0.68,0.19,0.13,PKR,Saifuddin Nasution Bin Ismail,24911
19,2018,KE,Tumpat,P19,110924,0.93,0.03,0.04,PAS,Che Abdullah Bin Mat Nawi,47041
19,2018,KE,Tumpat,P19,110924,0.93,0.03,0.04,UMNO,Wan Johani Bin Wan Hussin,29541
19,2018,KE,Tumpat,P19,110924,0.93,0.03,0.04,BERSATU,Nordin Bin Salleh,10003
19,2013,KE,Tumpat,P19,98632,0.93,0.03,0.04,PAS,Kamarudin Bin Jaffar,46151
19,2013,KE,Tumpat,P19,98632,0.93,0.03,0.04,UMNO,Mansor Bin Salleh,35527
20,2018,KE,Pengkalan Chepa,P20,75384,0.98,0.02,0,PAS,Ahmad Marzuk Bin Shaary,32592
20,2018,KE,Pengkalan Chepa,P20,75384,0.98,0.02,0,UMNO,Zaluzi Bin Sulaiman,19360
20,2018,KE,Pengkalan Chepa,P20,75384,0.98,0.02,0,AMANAH,Mohamad Bin Ibrahim,7435
20,2013,KE,Pengkalan Chepa,P20,64409,0.98,0.02,0,PAS,Izani Bin Husin,34617
20,2013,KE,Pengkalan Chepa,P20,64409,0.98,0.02,0,UMNO,Dali Bin Husin,19497
21,2018,KE,Kota Bahru,P21,88708,0.85,0.14,0.01,PAS,Takiyuddin Bin Hassan,28291
21,2018,KE,Kota Bahru,P21,88708,0.85,0.14,0.01,AMANAH,Husam Bin Musa,22422
21,2018,KE,Kota Bahru,P21,88708,0.85,0.14,0.01,UMNO,Fikhran Hamshi Bin Mohamad Fatmi,16256
21,2013,KE,Kota Bahru,P21,81268,0.83,0.16,0.01,PAS,Takiyuddin Bin Hassan,40620
21,2013,KE,Kota Bahru,P21,81268,0.83,0.16,0.01,UMNO,Mohamad Fatmi Bin Che Salleh,24650
21,2013,KE,Kota Bahru,P21,81268,0.83,0.16,0.01,IND,Mohd Zakiman Bin Abu Bakar,148
22,2018,KE,Pasir Mas,P22,71222,0.98,0.02,0,PAS,Ahmad Fadhli Bin Shaari,28080
22,2018,KE,Pasir Mas,P22,71222,0.98,0.02,0,UMNO,Nor Azmawi Bin Ab Rahman,15005
22,2018,KE,Pasir Mas,P22,71222,0.98,0.02,0,BEBAS,Ibrahim Bin Ali,5373
22,2018,KE,Pasir Mas,P22,71222,0.98,0.02,0,BERSATU,Che Ujang Bin Che Daud,5093
22,2013,KE,Pasir Mas,P22,71965,0.97,0.03,0,PAS,Nik Mohamad Abduh Bin Nik Abdul Aziz,33431
22,2013,KE,Pasir Mas,P22,71965,0.97,0.03,0,IND,Ibrahim Bin Ali,25384
23,2018,KE,Rantau Panjang,P23,66115,0.97,0.02,0.01,PAS,Siti Zailah Binti Mohd Yusoff,24581
23,2018,KE,Rantau Panjang,P23,66115,0.97,0.02,0.01,UMNO,Abdullah Bin Mat Yasim,18431
23,2018,KE,Rantau Panjang,P23,66115,0.97,0.02,0.01,AMANAH,Wan Shah Jihan Bin Wan Din,5361
23,2013,KE,Rantau Panjang,P23,52903,0.98,0.01,0.01,PAS,Siti Zailah Binti Mohd Yusoff,23724
23,2013,KE,Rantau Panjang,P23,52903,0.98,0.01,0.01,UMNO,Ghazali Bin Ismail,17448
24,2018,KE,Kubang Kerian,P24,82018,0.98,0.02,0,PAS,Tuan Ibrahim Bin Tuan Man,35620
24,2018,KE,Kubang Kerian,P24,82018,0.98,0.02,0,UMNO,Muhammad Bin Abdul Ghani,16251
24,2018,KE,Kubang Kerian,P24,82018,0.98,0.02,0,AMANAH,Abdul Halim Bin Yusof,11557
24,2013,KE,Kubang Kerian,P24,65390,0.98,0.02,0,PAS,Ahmad Baihaki Bin Atiqullah,35510
24,2013,KE,Kubang Kerian,P24,65390,0.98,0.02,0,UMNO,Anuar Bin Safian,18769
25,2018,KE,Bachok,P25,92606,0.99,0.01,0,PAS,Nik Mohamad Abduh Bin Nik Abdul Aziz,36188
25,2018,KE,Bachok,P25,92606,0.99,0.01,0,UMNO,Awang Adek Bin Hussin,32896
25,2018,KE,Bachok,P25,92606,0.99,0.01,0,BERSATU,Mohd Zulkifli Bin Haji Zakaria,4880
25,2013,KE,Bachok,P25,81566,0.99,0.01,0,PAS,Ahmad Marzuk Bin Shaary,35419
25,2013,KE,Bachok,P25,81566,0.99,0.01,0,UMNO,Awang Adek Bin Hussin,35218
26,2018,KE,Ketereh,P26,65238,0.97,0.02,0.01,UMNO,Annuar Bin Musa,25467
26,2018,KE,Ketereh,P26,65238,0.97,0.02,0.01,PAS,Wan Ismail Bin Wan Jusoh,20841
26,2018,KE,Ketereh,P26,65238,0.97,0.02,0.01,BERSATU,Mohd Radzi Bin Md Jidin,6799
26,2013,KE,Ketereh,P26,62217,0.97,0.02,0.01,UMNO,Annuar Bin Musa,26912
26,2013,KE,Ketereh,P26,62217,0.97,0.02,0.01,PKR,Ab Aziz Bin Ab Kadir,25938
27,2018,KE,Tanah Merah,P27,73172,0.95,0.04,0.01,UMNO,Ikmal Hisham Bin Abdul Aziz,28152
27,2018,KE,Tanah Merah,P27,73172,0.95,0.04,0.01,PAS,Johari Bin Mat,25223
27,2018,KE,Tanah Merah,P27,73172,0.95,0.04,0.01,PKR,Mohamad Fauzi Bin Zakaria,4747
27,2013,KE,Tanah Merah,P27,58237,0.95,0.04,0.01,UMNO,Ikmal Hisham Bin Abdul Aziz,26505
27,2013,KE,Tanah Merah,P27,58237,0.95,0.04,0.01,PKR,Nik Mahmood Bin Nik Hassan,22278
27,2013,KE,Tanah Merah,P27,58237,0.95,0.04,0.01,IND,Ahmad Fizal Bin Che Harun,213
28,2018,KE,Pasir Putih,P28,85411,0.98,0.01,0.01,PAS,Nik Muhammad Zawawi Bin Salleh,32307
28,2018,KE,Pasir Putih,P28,85411,0.98,0.01,0.01,UMNO,Asyraf Wajdi Bin Dusuki,30947
28,2018,KE,Pasir Putih,P28,85411,0.98,0.01,0.01,BERSATU,Kamarudin Bin Md Nor,4896
28,2013,KE,Pasir Putih,P28,76259,0.98,0.01,0.01,PAS,Nik Mazian Bin Nik Mohamad,33579
28,2013,KE,Pasir Putih,P28,76259,0.98,0.01,0.01,UMNO,Tuan Mustaffa Bin Tuan Mat,31691
29,2018,KE,Machang,P29,68387,0.97,0.03,0,UMNO,Ahmad Jazlan Bin Yaakub,26076
29,2018,KE,Machang,P29,68387,0.97,0.03,0,PAS,Zulkifli Bin Mamat,23252
29,2018,KE,Machang,P29,68387,0.97,0.03,0,BERSATU,Sazmi B Miah,5695
29,2013,KE,Machang,P29,59226,0.96,0.04,0,UMNO,Ahmad Jazlan Bin Yaakub,25660
29,2013,KE,Machang,P29,59226,0.96,0.04,0,PKR,Wan Zawawi Bin Wan Ismail,24855
30,2018,KE,Jeli,P30,47470,0.98,0.01,0,UMNO,Mustapa Bin Mohamed,21665
30,2018,KE,Jeli,P30,47470,0.98,0.01,0,PAS,Mohamad Bin Hamid,15018
30,2018,KE,Jeli,P30,47470,0.98,0.01,0,BERSATU,Azran Bin Deraman,2078
30,2013,KE,Jeli,P30,43224,0.99,0.01,0,UMNO,Mustapa Bin Mohamed,21223
30,2013,KE,Jeli,P30,43224,0.99,0.01,0,PAS,Mohd Apandi Bin Mohamad,15954
31,2018,KE,Kuala Krai,P31,70348,0.95,0.04,0.01,PAS,Abdul Latiff Bin Abdul Rahman,28903
31,2018,KE,Kuala Krai,P31,70348,0.95,0.04,0.01,UMNO,Ramzi Bin Ab Rahman,20911
31,2018,KE,Kuala Krai,P31,70348,0.95,0.04,0.01,AMANAH,Mohd Yazid Bin Abdullah,5173
31,2013,KE,Kuala Krai,P31,63101,0.94,0.04,0.01,PAS,Mohd Hatta Bin Md Ramli,27919
31,2013,KE,Kuala Krai,P31,63101,0.94,0.04,0.01,UMNO,Tuan Aziz Bin Tuan Hamat @ Tuan Mat,25876
32,2018,KE,Gua Musang,P32,52524,0.83,0.06,0.01,UMNO,Tengku Razaleigh Bin Tengku Mohd Hamzah,19426
32,2018,KE,Gua Musang,P32,52524,0.83,0.06,0.01,PAS,Abdullah Bin Hussein,15513
32,2018,KE,Gua Musang,P32,52524,0.83,0.06,0.01,BERSATU,Mohd Nor Bin Hussin,4997
32,2013,KE,Gua Musang,P32,40176,0.8,0.07,0.01,UMNO,Tengku Razaleigh Bin Tengku Mohd Hamzah,21367
32,2013,KE,Gua Musang,P32,40176,0.8,0.07,0.01,PAS,Wan Abd Rahim Bin Wan Abdullah,12954
33,2018,TR,Besut,P33,86627,0.98,0.01,0,UMNO,Idris Bin Jusoh,34335
33,2018,TR,Besut,P33,86627,0.98,0.01,0,PAS,Riduan Bin Mohamad Nor,29736
33,2018,TR,Besut,P33,86627,0.98,0.01,0,BERSATU,Wan Nazari Bin Wan Jusoh,6864
33,2013,TR,Besut,P33,72556,0.98,0.01,0,UMNO,Idris Bin Jusoh,35232
33,2013,TR,Besut,P33,72556,0.98,0.01,0,PAS,Riduan Bin Mohamad Nor,26890
34,2018,TR,Setiu,P34,86247,1,0,0,PAS,Shaharizukirnain Bin Abd Kadir,35020
34,2018,TR,Setiu,P34,86247,1,0,0,UMNO,Mohd Jidin Bin Shafee,32218
34,2018,TR,Setiu,P34,86247,1,0,0,BERSATU,Mohd Faudzi Bin Musa,4740
34,2013,TR,Setiu,P34,67280,1,0,0,UMNO,Che Mohamad Zulkifly Bin Jusoh,33198
34,2013,TR,Setiu,P34,67280,1,0,0,PAS,Omar Bin Sidek,25255
35,2018,TR,Kuala Nerus,P35,83663,0.99,0.01,0,PAS,Mohd Khairuddin Bin Aman Razali,37974
35,2018,TR,Kuala Nerus,P35,83663,0.99,0.01,0,UMNO,Tengku Asmadi Bin Tengku Mohamad,29527
35,2018,TR,Kuala Nerus,P35,83663,0.99,0.01,0,AMANAH,Abdullah Bin Mohamed,4604
35,2013,TR,Kuala Nerus,P35,76238,0.99,0.01,0,PAS,Mohd Khairuddin Bin Aman Razali,33861
35,2013,TR,Kuala Nerus,P35,76238,0.99,0.01,0,UMNO,Mohd Nasir B Ibrahim @ Ibrahim Fikri,33251
36,2018,TR,Kuala Terengganu,P36,103611,0.9,0.09,0.01,PAS,Ahmad Amzad Bin Mohamed @ Hashim,42988
36,2018,TR,Kuala Terengganu,P36,103611,0.9,0.09,0.01,UMNO,Wan Nawawi Bin Haji Wan Ismail,28215
36,2018,TR,Kuala Terengganu,P36,103611,0.9,0.09,0.01,AMANAH,Raja Kamarul Bahrin Shah,15380
